epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,2634.06,1.20186,0.84265,1.02996,0.02213,0.89853,0.88719,0.9303,0.60432,1.13791,0.70735,1.02485,0.0133,0.0012872,0.0012872,0.0012872
38,2703.49,1.18747,0.82808,1.01235,0.02138,0.91106,0.88259,0.93228,0.61818,1.08155,0.70231,0.99975,0.01209,0.0012674,0.0012674,0.0012674
39,2773.78,1.18031,0.81883,1.00512,0.02026,0.89304,0.86983,0.92485,0.6163,1.09587,0.71155,1.02812,0.01342,0.0012476,0.0012476,0.0012476
40,2842.29,1.18535,0.82581,1.01484,0.02283,0.89946,0.878,0.92825,0.60803,1.0812,0.69223,0.99789,0.01233,0.0012278,0.0012278,0.0012278
41,2914.52,1.18527,0.82226,1.0113,0.02181,0.88549,0.85043,0.91053,0.58073,1.14978,0.72981,1.02192,0.01232,0.001208,0.001208,0.001208
42,2985.01,1.18209,0.81735,1.00968,0.02123,0.89271,0.86643,0.92121,0.59247,1.15187,0.73075,1.02999,0.01244,0.0011882,0.0011882,0.0011882
43,3055.39,1.17354,0.81802,1.01107,0.02141,0.9106,0.85793,0.91928,0.57833,1.17854,0.72502,1.03079,0.01336,0.0011684,0.0011684,0.0011684
44,3126.16,1.1898,0.80893,1.01337,0.0223,0.87363,0.87873,0.91908,0.60751,1.07791,0.71333,0.99752,0.01229,0.0011486,0.0011486,0.0011486
45,3196.27,1.17312,0.80372,1.00375,0.02146,0.90308,0.87045,0.92013,0.60817,1.08802,0.70557,1.00167,0.01281,0.0011288,0.0011288,0.0011288
46,3268.13,1.16526,0.79908,1.00123,0.02094,0.90228,0.86728,0.92404,0.61287,1.08557,0.71029,0.99595,0.01224,0.001109,0.001109,0.001109
47,3338.66,1.17795,0.80693,1.00563,0.02133,0.91352,0.86811,0.92167,0.6061,1.08405,0.69254,1.00716,0.0125,0.0010892,0.0010892,0.0010892
48,3408.47,1.16649,0.7928,0.996,0.01963,0.90439,0.87545,0.92706,0.60979,1.10394,0.69323,0.99727,0.01177,0.0010694,0.0010694,0.0010694
49,3476.78,1.1516,0.79354,0.9965,0.01998,0.89276,0.88055,0.92573,0.60585,1.09134,0.70031,0.99927,0.01157,0.0010496,0.0010496,0.0010496
50,3545.56,1.15609,0.79059,0.99142,0.01952,0.91184,0.87187,0.92646,0.59865,1.11805,0.68652,1.01188,0.01218,0.0010298,0.0010298,0.0010298
51,3617.5,1.15268,0.78593,1.00031,0.02089,0.90242,0.88274,0.93046,0.61816,1.07175,0.66868,0.99961,0.01265,0.00101,0.00101,0.00101
52,3687.85,1.15586,0.79299,1.00376,0.02004,0.89916,0.87902,0.92999,0.62287,1.06352,0.6801,1.00163,0.01155,0.0009902,0.0009902,0.0009902
53,3757.18,1.15232,0.78062,0.99264,0.02021,0.89413,0.88515,0.93352,0.61856,1.09072,0.67792,0.99892,0.01264,0.0009704,0.0009704,0.0009704
54,3826.39,1.15026,0.7808,0.98838,0.01988,0.91629,0.8877,0.9359,0.62077,1.08047,0.66116,0.99664,0.01207,0.0009506,0.0009506,0.0009506
55,3896.97,1.14253,0.77863,0.99629,0.02039,0.89718,0.8819,0.92665,0.61452,1.08494,0.68306,1.00674,0.01208,0.0009308,0.0009308,0.0009308
56,3969.69,1.14705,0.79378,0.99583,0.01877,0.89685,0.89076,0.93301,0.62248,1.07222,0.66443,0.99523,0.01163,0.000911,0.000911,0.000911
57,4040.21,1.13229,0.77149,0.99077,0.01875,0.91174,0.88065,0.93006,0.62053,1.06318,0.66881,0.99181,0.01187,0.0008912,0.0008912,0.0008912
58,4108.56,1.13073,0.76431,0.98192,0.01927,0.9188,0.86641,0.92858,0.61257,1.09096,0.67227,0.99729,0.01144,0.0008714,0.0008714,0.0008714
59,4178.49,1.13161,0.76687,0.98042,0.01874,0.90953,0.88157,0.93014,0.62171,1.04967,0.65619,0.98867,0.01222,0.0008516,0.0008516,0.0008516
60,4248.55,1.12824,0.77342,0.98488,0.01878,0.88841,0.87902,0.92648,0.61077,1.07922,0.67291,0.99485,0.01178,0.0008318,0.0008318,0.0008318
61,4321.25,1.11651,0.76198,0.9869,0.01867,0.92114,0.8765,0.93434,0.62633,1.06922,0.65292,0.99474,0.01163,0.000812,0.000812,0.000812
62,4390.27,1.10999,0.74881,0.97421,0.01753,0.90253,0.87953,0.92958,0.62353,1.05998,0.65841,0.99063,0.01157,0.0007922,0.0007922,0.0007922
63,4459.83,1.12451,0.75228,0.98073,0.01911,0.90757,0.89025,0.93601,0.6343,1.0385,0.65326,0.98732,0.01113,0.0007724,0.0007724,0.0007724
64,4530,1.11612,0.7456,0.97719,0.01942,0.9061,0.88208,0.92929,0.60826,1.09198,0.66601,0.99967,0.01187,0.0007526,0.0007526,0.0007526
65,4600.35,1.11617,0.76176,0.98407,0.01942,0.91564,0.89201,0.93639,0.63199,1.04367,0.64545,0.98702,0.01102,0.0007328,0.0007328,0.0007328
66,4673.81,1.1175,0.74848,0.98283,0.01817,0.91795,0.88566,0.94274,0.62861,1.05485,0.65076,0.99159,0.01118,0.000713,0.000713,0.000713
67,4743.2,1.11342,0.7521,0.98331,0.0175,0.91039,0.89842,0.9397,0.63357,1.0422,0.64685,0.98334,0.01086,0.0006932,0.0006932,0.0006932
68,4812.52,1.09937,0.73693,0.97526,0.01755,0.89808,0.89959,0.93304,0.6298,1.04535,0.63886,0.98916,0.01137,0.0006734,0.0006734,0.0006734
69,4882.95,1.09582,0.7394,0.97168,0.01744,0.91441,0.89435,0.93166,0.61708,1.07348,0.653,1.00315,0.01152,0.0006536,0.0006536,0.0006536
70,4952.96,1.09668,0.7299,0.97505,0.01825,0.90948,0.88727,0.93318,0.62208,1.06448,0.6439,0.98728,0.01137,0.0006338,0.0006338,0.0006338
71,5026.04,1.09705,0.73828,0.97718,0.01845,0.9119,0.88763,0.9332,0.62353,1.05355,0.64161,0.98806,0.01114,0.000614,0.000614,0.000614
72,5095.23,1.08241,0.72866,0.97432,0.01765,0.90146,0.8919,0.93349,0.63183,1.04993,0.6467,0.98842,0.01087,0.0005942,0.0005942,0.0005942
73,5164.83,1.08889,0.73487,0.97302,0.01868,0.91075,0.87511,0.93285,0.62898,1.04523,0.64002,0.98286,0.01082,0.0005744,0.0005744,0.0005744
74,5234.95,1.09622,0.73711,0.96523,0.0186,0.91141,0.87178,0.92901,0.61978,1.06558,0.64922,0.98778,0.01087,0.0005546,0.0005546,0.0005546
75,5305.69,1.07838,0.73043,0.96338,0.01652,0.90566,0.89689,0.93595,0.64446,1.01763,0.6223,0.97564,0.01058,0.0005348,0.0005348,0.0005348
76,5379.22,1.08216,0.71812,0.97201,0.0169,0.91498,0.88157,0.93264,0.62584,1.06607,0.63483,0.98831,0.0108,0.000515,0.000515,0.000515
77,5448.54,1.08593,0.72914,0.97398,0.01789,0.91544,0.88417,0.93605,0.62212,1.06516,0.64275,0.98633,0.0108,0.0004952,0.0004952,0.0004952
78,5517.99,1.07745,0.71324,0.96815,0.01725,0.91708,0.88076,0.93134,0.61725,1.09099,0.64145,0.98782,0.01127,0.0004754,0.0004754,0.0004754
