chip_path,score,pbr,bright_frac,tail_snr
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r06386_c06958.png,2607,85.0,0.007748,1.0727
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05618_c04910.png,3724,84.0,0.020756,1.0727
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03826_c05934.png,3032,87.0,0.012348,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04082_c06190.png,2953,87.0,0.012211,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04850_c07470.png,2264,87.0,9.9e-05,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r06386_c07726.png,2232,87.0,0.000362,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r07922_c03630.png,3368,86.0,0.014595,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04338_c07214.png,2287,86.0,0.000179,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03826_c07214.png,2237,86.0,0.000137,1.0714
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c07470.png,2429,89.0,0.001816,1.0702
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03314_c06702.png,2243,89.0,0.00103,1.0702
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05362_c06702.png,3082,88.0,0.008762,1.0702
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08434_c07470.png,2498,88.0,0.003342,1.0702
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r04850_c07982.png,2461,88.0,0.000755,1.0702
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08178_c07982.png,2323,87.0,0.00103,1.0702
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03570_c07470.png,2234,87.0,8e-06,1.0702
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r05618_c06702.png,3157,90.0,0.009109,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03314_c05934.png,2892,90.0,0.010178,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r03314_c06446.png,2275,90.0,0.002113,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08690_c04910.png,2269,90.0,7.6e-05,1.069
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_a/ots_aoi_a_r08178_c03630.png,3118,89.0,0.012287,1.069
