chip_path,score,pbr
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c11207.png,867,72.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c11719.png,667,69.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07195_c11975.png,1013,60.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c11975.png,902,53.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c12231.png,908,51.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07451_c12231.png,722,50.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c10951.png,701,50.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c11719.png,785,49.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c11463.png,751,49.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08219_c12487.png,1042,48.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c12231.png,1041,47.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r08475_c12487.png,955,45.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07195_c12231.png,817,45.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c11463.png,793,43.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c11207.png,741,43.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07963_c12487.png,916,42.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c11719.png,724,41.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c11207.png,746,40.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c11975.png,706,40.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c11463.png,631,40.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07451_c12487.png,667,39.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c11719.png,602,39.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c12231.png,693,38.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07707_c12487.png,666,38.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r07195_c12487.png,611,38.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06939_c12487.png,564,37.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c11975.png,515,37.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c12231.png,515,36.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c11975.png,434,36.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06683_c12487.png,440,35.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c12487.png,408,35.0
/Volumes/Tejas SSD/datasets/s1_chips/maasvlakte/maasvlakte_r06427_c12231.png,360,34.0
