chip_path,score,pbr,bright_frac,tail_snr
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07518_c13937.png,2698,91.0,0.005638,1.1404
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09310_c14705.png,2677,91.0,0.005199,1.1404
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r03934_c13425.png,2908,106.0,0.007885,1.1385
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04446_c15473.png,2795,93.0,0.000717,1.1379
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08798_c13169.png,2647,93.0,0.003613,1.1379
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04190_c13681.png,4216,110.0,0.018688,1.1364
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09566_c13681.png,2889,101.0,0.003773,1.1333
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06750_c13937.png,2530,96.0,0.002705,1.1333
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09566_c14961.png,3899,93.0,0.012939,1.1333
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08798_c14961.png,3455,101.0,0.011887,1.129
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r09054_c14705.png,3376,101.0,0.011608,1.129
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05470_c13425.png,3339,101.0,0.01004,1.129
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06238_c13169.png,3125,101.0,0.010715,1.129
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r03934_c13169.png,2951,101.0,0.010303,1.129
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05470_c14449.png,2570,99.0,0.002689,1.129
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05726_c14193.png,2596,107.0,0.001965,1.125
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07262_c14961.png,3342,101.0,0.004436,1.125
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04190_c14193.png,3163,101.0,0.003838,1.125
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07262_c15729.png,3066,101.0,0.003899,1.125
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06238_c14961.png,2607,101.0,0.001991,1.125
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07518_c13169.png,2563,101.0,0.002079,1.125
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08542_c13169.png,2587,93.0,0.000664,1.1228
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08542_c12145.png,2506,93.0,0.000462,1.1228
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06238_c13681.png,2855,108.0,0.005764,1.1194
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08286_c11633.png,2836,108.0,0.004868,1.1194
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06494_c11889.png,2508,96.0,0.000515,1.1186
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05982_c14193.png,2475,96.0,0.000542,1.1186
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08286_c15217.png,2699,94.0,0.004086,1.1186
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06494_c12913.png,2605,93.0,0.004074,1.1186
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08286_c13681.png,2592,93.0,0.003994,1.1186
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08542_c12657.png,2576,90.0,0.000443,1.1186
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07774_c11889.png,3689,99.0,0.004623,1.1148
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05214_c13681.png,3650,110.0,0.013748,1.1143
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07518_c15729.png,2773,98.0,0.002922,1.1129
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04702_c14449.png,3683,118.0,0.010365,1.1111
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07518_c11377.png,2743,106.0,0.002514,1.1094
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05214_c13425.png,4582,105.0,0.021694,1.1094
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05470_c13169.png,5008,100.0,0.025597,1.1094
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05470_c14705.png,2545,100.0,0.001663,1.1094
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05982_c12657.png,2854,98.0,0.006931,1.1094
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08030_c12145.png,2587,87.0,1.1e-05,1.1091
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06750_c11377.png,2558,87.0,4e-06,1.1091
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06750_c11633.png,2582,86.0,0.000111,1.1091
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06238_c11377.png,2872,106.0,0.00584,1.1061
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05470_c13681.png,2753,101.0,0.006561,1.1061
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05982_c15729.png,2760,89.0,0.000656,1.1053
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06238_c15729.png,2713,89.0,0.000729,1.1053
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r08798_c15729.png,3529,93.0,0.016937,1.1034
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05214_c13937.png,2891,109.0,0.005768,1.1029
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07774_c15473.png,3074,98.0,0.008358,1.0984
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r05726_c13425.png,2947,98.0,0.008316,1.0984
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06750_c15473.png,2680,98.0,0.000919,1.0984
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06494_c14705.png,2631,98.0,0.000591,1.0984
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06750_c12145.png,2570,98.0,0.000568,1.0984
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r06750_c13425.png,2583,95.0,0.002834,1.0984
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r07006_c13425.png,2491,95.0,0.002468,1.0984
/Volumes/Tejas SSD/datasets/s1_chips/ots_aoi_b/ots_aoi_b_r04958_c12145.png,4242,96.0,0.019363,1.0968
